team_name,phase,count,success_rate,percent_of_total,success_rate_percentile,count_percentile,percent_of_total_percentile
Atlanta United,accelerated_possession,396,0.36363636363636365,0.03773225345402573,0.4,0.6,0.6333333333333333
Atlanta United,attacking_freekick,87,0.7931034482758621,0.00828966174368747,0.16666666666666666,0.03333333333333333,0.03333333333333333
Atlanta United,attacking_freekick_second_phase,28,0.10714285714285714,0.00266793711291091,0.06666666666666667,0.21666666666666667,0.2
Atlanta United,attacking_throw_in,132,0.5909090909090909,0.012577417818008576,0.16666666666666666,0.4,0.36666666666666664
Atlanta United,buildup,1158,0.6347150259067358,0.11033825631252978,0.7333333333333333,0.4,0.3
Atlanta United,corner,148,0.22297297297297297,0.014101953311100524,0.6666666666666666,0.23333333333333334,0.23333333333333334
Atlanta United,corner_second_phase,59,0.2711864406779661,0.00562172463077656,0.23333333333333334,0.03333333333333333,0.03333333333333333
Atlanta United,counterattack,46,0.34782608695652173,0.004383039542639352,0.18333333333333332,0.6166666666666667,0.6
Atlanta United,finishing,666,0.3303303303303303,0.06345878989995236,0.1,0.7666666666666667,0.8
Atlanta United,high_transition,270,0.43333333333333335,0.02572653644592663,1.0,0.23333333333333334,0.13333333333333333
Atlanta United,kickoff,141,0.49645390070921985,0.013434969032872796,0.3333333333333333,0.9666666666666667,0.9666666666666667
Atlanta United,long_goalkick,75,0.5466666666666666,0.007146260123868509,0.9666666666666667,0.43333333333333335,0.43333333333333335
Atlanta United,penalty,4,0.0,0.00038113387327298715,0.5166666666666667,0.38333333333333336,0.36666666666666664
Atlanta United,possession_freekick,309,0.6051779935275081,0.029442591710338258,0.13333333333333333,0.43333333333333335,0.36666666666666664
Atlanta United,possession_throw_in,417,0.48201438848920863,0.03973320628870891,0.43333333333333335,0.6666666666666666,0.6
Atlanta United,progression,1626,0.4821648216482165,0.15493091948546928,0.8666666666666667,0.6,0.7
Atlanta United,securing_possession,883,0.578708946772367,0.0841353025250119,0.9666666666666667,0.6333333333333333,0.6333333333333333
Atlanta United,short_goalkick,167,0.5688622754491018,0.015912339209147214,0.7333333333333333,0.5333333333333333,0.5666666666666667
Austin FC,accelerated_possession,363,0.418732782369146,0.03728047653281298,0.9,0.3333333333333333,0.5333333333333333
Austin FC,attacking_freekick,138,0.7608695652173914,0.014172743144705761,0.03333333333333333,0.6333333333333333,0.7333333333333333
Austin FC,attacking_freekick_second_phase,34,0.2647058823529412,0.003491835267536202,0.4666666666666667,0.5666666666666667,0.5666666666666667
Austin FC,attacking_throw_in,117,0.7948717948717948,0.012016021361815754,0.9666666666666667,0.16666666666666666,0.3
Austin FC,buildup,1152,0.6354166666666666,0.11831159494710897,0.7666666666666667,0.3,0.8
Austin FC,corner,153,0.2549019607843137,0.015713258703912908,0.9666666666666667,0.31666666666666665,0.6
Austin FC,corner_second_phase,62,0.3064516129032258,0.006367464311389545,0.4166666666666667,0.15,0.23333333333333334
Austin FC,counterattack,43,0.46511627906976744,0.004416144603060491,0.9,0.5166666666666667,0.7
Austin FC,finishing,498,0.3634538152610442,0.051145116565677315,0.5666666666666667,0.13333333333333333,0.23333333333333334
Austin FC,high_transition,285,0.3508771929824561,0.029269795624935813,0.36666666666666664,0.35,0.5666666666666667
Austin FC,kickoff,109,0.4954128440366973,0.011194413063571941,0.2833333333333333,0.31666666666666665,0.6
Austin FC,long_goalkick,157,0.42038216560509556,0.016124062853034814,0.6333333333333333,0.9,0.9333333333333333
Austin FC,penalty,2,0.0,0.00020540207456095307,0.5166666666666667,0.03333333333333333,0.03333333333333333
Austin FC,possession_freekick,263,0.6083650190114068,0.02701037280476533,0.2,0.1,0.23333333333333334
Austin FC,possession_throw_in,375,0.496,0.0385128889801787,0.6,0.13333333333333333,0.4
Austin FC,progression,1404,0.4024216524216524,0.14419225634178906,0.06666666666666667,0.16666666666666666,0.3333333333333333
Austin FC,securing_possession,818,0.5635696821515892,0.08400944849542981,0.6333333333333333,0.2,0.6
Austin FC,short_goalkick,120,0.5916666666666667,0.012324124473657183,0.9,0.16666666666666666,0.26666666666666666
CF Montreal,accelerated_possession,378,0.35185185185185186,0.036245085818391025,0.26666666666666666,0.4666666666666667,0.4
CF Montreal,attacking_freekick,150,0.8133333333333334,0.014382970562853582,0.4,0.7666666666666667,0.8
CF Montreal,attacking_freekick_second_phase,31,0.3548387096774194,0.0029724805829897403,0.9166666666666666,0.36666666666666664,0.43333333333333335
CF Montreal,attacking_throw_in,125,0.672,0.011985808802377984,0.43333333333333335,0.23333333333333334,0.23333333333333334
CF Montreal,buildup,1171,0.5397096498719044,0.11228305686067695,0.03333333333333333,0.4666666666666667,0.43333333333333335
CF Montreal,corner,168,0.17857142857142858,0.01610892703039601,0.26666666666666666,0.6166666666666667,0.7333333333333333
CF Montreal,corner_second_phase,77,0.4025974025974026,0.007383258222264839,0.8833333333333333,0.5,0.5666666666666667
CF Montreal,counterattack,35,0.45714285714285713,0.0033560264646658356,0.8666666666666667,0.11666666666666667,0.16666666666666666
CF Montreal,finishing,450,0.3466666666666667,0.04314891168856074,0.23333333333333334,0.1,0.1
CF Montreal,high_transition,320,0.315625,0.030683670534087642,0.06666666666666667,0.65,0.7
CF Montreal,kickoff,128,0.6171875,0.012273468213635057,0.9333333333333333,0.7666666666666667,0.8333333333333334
CF Montreal,long_goalkick,45,0.26666666666666666,0.0043148911688560745,0.03333333333333333,0.13333333333333333,0.13333333333333333
CF Montreal,penalty,4,0.0,0.0003835458816760955,0.5166666666666667,0.38333333333333336,0.4
